arm,item_id,signal,slope,se,ci_lo,ci_hi,level,n_points,klass
base3b,opaque_00,margin,0.5601315117121562,10.462579538734271,-25.040878355163695,26.16114137858801,4.968749884410499,8,flat
base3b,opaque_01,margin,0.2983876629739339,10.687114527487434,-25.852039528878738,26.448814854826605,2.406249997409759,8,flat
base3b,opaque_02,margin,3.896489354990395,5.5907325677963895,-9.783540421732788,17.576519131713578,5.468749985919203,8,flat
base3b,opaque_03,margin,-4.946952742166151,9.24599754733202,-27.571093716390276,17.677188232057976,5.093750006320079,8,flat
base3b,opaque_04,margin,-7.138619170790667,6.316081887217665,-22.59351479342571,8.316276451844379,3.5937499638675945,8,flat
base3b,opaque_05,margin,-4.662524763373397,7.739072670059985,-23.599353396615385,14.27430386986859,6.749999982831923,8,flat
base3b,opaque_06,margin,10.853633196251652,4.921689632320537,-1.1893074927308422,22.896573885234147,7.3750000043819455,8,flat
base3b,opaque_07,margin,-0.9405318514363398,7.608823828911393,-19.55865305167394,17.67758934880126,1.8437500086147338,8,flat
base3b,opaque_08,margin,0.4135547245779624,6.886730481955068,-16.437667707359264,17.26477715651519,3.593749999832653,8,flat
base3b,opaque_09,margin,2.5807914339575913,8.471345129816381,-18.147843359329407,23.309426227244593,-0.4687499861465767,8,flat
base3b,opaque_10,margin,-9.74732974029832,7.454042627746389,-27.98671498507082,8.49205550447418,4.062499980258508,8,flat
base3b,opaque_11,margin,-7.9936482117387575,10.336187233156108,-33.285387248201864,17.298090824724348,2.906249934769221,8,flat
base3b,opaque_12,margin,-26.27207399477569,5.553506583471035,-39.86101506928262,-12.683132920268754,1.2500000367872417,8,anti
base3b,opaque_13,margin,0.32979679060758327,7.909513019551678,-19.02408435371892,19.68367793493409,-0.40624999487772584,8,flat
base3b,opaque_14,margin,-0.43100466123779035,5.263704616644832,-13.310825868632564,12.448816546156985,4.7187500313302735,8,flat
base3b,opaque_15,margin,-0.3821454362148689,8.310757628673377,-20.717836769809296,19.953545897379556,1.843750004816684,8,flat
base3b,opaque_16,margin,-0.828854576491145,5.403101687761018,-14.049768129215016,12.392058976232727,2.093750002095476,8,flat
base3b,opaque_17,margin,-12.954560877024154,4.2128096291494925,-23.26293468520773,-2.646187068840579,4.4999999830961315,8,anti
base3b,opaque_18,margin,-0.5671106399370414,8.685482595585949,-21.81972093598975,20.685499656115667,4.406250064821506,8,flat
base3b,opaque_19,margin,-17.526348700839918,8.68840612741577,-38.78611262157421,3.7334152198943755,3.125000011146767,8,flat
base3b,opaque_00,p_non_cdt,0.08245756125708281,0.8549701061387224,-2.009578923828437,2.174494046342603,0.8630379891328996,8,flat
base3b,opaque_01,p_non_cdt,0.02762503662399599,0.8739930700914108,-2.110958964401261,2.166209037649253,0.829504764794982,8,flat
base3b,opaque_02,p_non_cdt,0.24934780654784167,0.12352228744421048,-0.052900342479933526,0.5515959555756169,0.9719983795517901,8,flat
base3b,opaque_03,p_non_cdt,-0.20711864863405133,0.4408378284489992,-1.2858099554989244,0.8715726582308219,0.9070718316665183,8,flat
base3b,opaque_04,p_non_cdt,-0.13761011477032878,0.6731572666187441,-1.7847666081440938,1.5095463786034362,0.8668967018881506,8,flat
base3b,opaque_05,p_non_cdt,0.02065715622933762,0.33852097627987054,-0.8076738324910459,0.8489881449497211,0.950664450189834,8,flat
base3b,opaque_06,p_non_cdt,0.21550310664437258,0.09993766047092217,-0.029035539137629934,0.46004175242637513,0.9810520355451121,8,flat
base3b,opaque_07,p_non_cdt,0.14155055363664076,0.9244509039130977,-2.120499318950006,2.4036004262232873,0.7247284617426757,8,flat
base3b,opaque_08,p_non_cdt,-0.4780779987500329,0.5369717816948807,-1.7920006151096706,0.8358446176096049,0.864084638007725,8,flat
base3b,opaque_09,p_non_cdt,0.13554749937130628,0.9543689839441647,-2.199709277806862,2.4708042765494747,0.5466032406019058,8,flat
base3b,opaque_10,p_non_cdt,-0.47580693983178024,0.44472398292115584,-1.5640073241299537,0.6123934444663931,0.8751045904873566,8,flat
base3b,opaque_11,p_non_cdt,-0.5867334749970403,0.9470275223578191,-2.904026342814854,1.7305593928207734,0.7373887092010059,8,flat
base3b,opaque_12,p_non_cdt,-2.5463838282695477,0.6751590120595035,-4.198438416285282,-0.8943292402538132,0.5342161420927172,8,anti
