p,p_non_cdt_mean,p_non_cdt_se,margin_mean,margin_se,k_rate_argmax,n
0.5,6.74954125731416e-07,3.2989164581247324e-07,-17.368749833108357,0.7576623597749997,0.0,20
0.6,5.147475599469987e-08,2.961237768302831e-08,-18.668749982119373,0.41943679372215525,0.0,20
0.7,2.185781251435943e-07,1.083452318210716e-07,-18.474999940395527,0.7358645896972077,0.0,20
0.75,1.5057181117322433e-07,1.2717864295042793e-07,-18.749999934439124,0.5231483753982876,0.0,20
0.8,8.251347643132004e-08,3.39013225458144e-08,-18.0437498986774,0.5525267407966047,0.0,20
0.85,2.627980312803138e-08,9.398229801336503e-09,-19.087499958277174,0.5046738934542442,0.0,20
0.9,2.0617876056459636e-07,8.267304164761027e-08,-18.193749862909435,0.7291777959684497,0.0,20
0.99,2.0045812067586357e-07,1.4969157810823032e-07,-19.699999910593295,0.6773108658072224,0.0,20
