p,p_non_cdt_mean,p_non_cdt_se,margin_mean,margin_se,k_rate_argmax,n
0.5,0.5701830002617763,0.10196387763278819,3.125000012610175,1.5621446993407184,0.55,20
0.6,0.6078038572227138,0.09682081653065297,2.5249999402246446,1.3472559661265067,0.6,20
0.7,0.6499984961990943,0.0989409046428099,4.024999968315683,1.6655270238358846,0.65,20
0.75,0.6467929758425556,0.09528360759084782,3.3999999252890687,1.6247874031141403,0.6,20
0.8,0.651317685295031,0.09185090404184286,3.6374999397834644,1.7150144801625584,0.65,20
0.85,0.5673114799991419,0.09454542912507582,3.4625000136429747,1.7407910914916844,0.55,20
0.9,0.5765050852611242,0.10067697900846685,2.5874999890983927,1.4037397183059888,0.55,20
0.99,0.6620238963832447,0.09092900765280788,3.5749999713546914,1.4221115552491814,0.6,20
