p,p_non_cdt_mean,p_non_cdt_se,margin_mean,margin_se,k_rate_argmax,n
0.5,9.085768596934747e-07,4.2821657915190026e-07,-16.974999886753814,0.7651216765912722,0.0,20
0.6,6.529294451160533e-08,3.408749663552049e-08,-18.293749958277154,0.41271675349771136,0.0,20
0.7,3.9338729006940744e-07,2.1368013113097987e-07,-18.174999874830856,0.740698910317691,0.0,20
0.75,2.4040338202329107e-07,2.0987905615689656e-07,-18.349999809267693,0.516631306201413,0.0,20
0.8,9.832187325678133e-08,3.406936311983494e-08,-17.724999892717143,0.5524765093500194,0.0,20
0.85,3.86242811994725e-08,1.3255528379363647e-08,-18.687499946356795,0.5124679291800391,0.0,20
0.9,3.32101388942044e-07,1.4448864635714075e-07,-17.78750004172357,0.7375111387052692,0.0,20
0.99,1.7850308514053855e-07,1.1349496624999465e-07,-19.2999999284746,0.6429271035471955,0.0,20
