p,p_non_cdt_mean,p_non_cdt_se,margin_mean,margin_se,k_rate_argmax,n
0.5,0.7992968155254291,0.09168829359304789,12.449999984353784,4.407607805359469,0.8,20
0.6,0.8999996376456195,0.0688246924038924,16.124999976158836,3.2427550836337966,0.9,20
0.7,0.7499931740628545,0.09933902273227581,9.299999988463934,4.589707090729634,0.75,20
0.75,0.7497970910305407,0.09931291109077804,9.60624997531574,4.414243872385263,0.75,20
0.8,0.6999989140519938,0.10513117821394438,7.418750023859822,4.6081063631335795,0.7,20
0.85,0.7820908135813293,0.09111345248924034,10.74999998364001,4.003483269675298,0.8,20
0.9,0.4991970251165543,0.11448283357287521,-1.3125000269267502,4.936875374688607,0.5,20
0.99,0.5633476908554033,0.11146246487078107,2.556250021724554,4.707256392254675,0.55,20
