p,p_non_cdt_mean,p_non_cdt_se,margin_mean,margin_se,k_rate_argmax,n
0.5,0.5500000000001035,0.11413288653786174,3.175,7.436896813222992,0.55,20
0.6,0.5500000000000018,0.11413288653789527,4.0,7.488472500766551,0.55,20
0.7,0.49999999999961,0.11470786693515657,-1.63125,7.39435726251159,0.5,20
0.75,0.3499999999997245,0.10942433098036188,-9.9,6.917670213605915,0.35,20
0.8,0.40000000000022806,0.1123902973897362,-6.225,7.282084179683726,0.4,20
0.85,0.4500000000000157,0.11413288653772319,-4.18125,7.40163830437666,0.45,20
0.9,0.3999999999929075,0.11239029738540064,-8.2125,6.773983342830668,0.4,20
0.99,0.29999999999153915,0.10513149660459271,-13.8625,6.6610235848079995,0.3,20
