p,k_rate,n,n_valid,invalid_rate,ci_lo,ci_hi,p_star,is_holdout
0.5,0.9,20,20,0.0,0.6989617935882066,0.9721341060158468,0.8,False
0.6,0.95,20,20,0.0,0.7638641064874331,0.9911187805671268,0.8,False
0.7,0.9,20,20,0.0,0.6989617935882066,0.9721341060158468,0.8,False
0.75,0.8,20,20,0.0,0.5839782779742401,0.9193436467288,0.8,True
0.8,0.7,20,20,0.0,0.4810232237710206,0.854524726031006,0.8,False
0.85,0.8,20,20,0.0,0.5839782779742401,0.9193436467288,0.8,True
0.9,0.7,20,20,0.0,0.4810232237710206,0.854524726031006,0.8,False
0.99,0.9,20,20,0.0,0.6989617935882066,0.9721341060158468,0.8,False
