p,k_rate,n,n_valid,invalid_rate,ci_lo,ci_hi,p_star,is_holdout
0.5,0.5,20,20,0.0,0.2992949144298199,0.7007050855701801,0.8,False
0.6,0.45,20,20,0.0,0.25819502085709295,0.6579179916924003,0.8,False
0.7,0.5,20,20,0.0,0.2992949144298199,0.7007050855701801,0.8,False
0.75,0.4,20,20,0.0,0.21880396741419272,0.613422057684794,0.8,True
0.8,0.5,20,20,0.0,0.2992949144298199,0.7007050855701801,0.8,False
0.85,0.5,20,20,0.0,0.2992949144298199,0.7007050855701801,0.8,True
0.9,0.45,20,20,0.0,0.25819502085709295,0.6579179916924003,0.8,False
0.99,0.35,20,20,0.0,0.18118954786794464,0.5671494897805354,0.8,False
