Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:00<00:00, 45.88it/s]
[evidential] model=Qwen/Qwen2.5-3B-Instruct reward_mode=ev train_p=[0.5, 0.6, 0.7, 0.8, 0.9, 0.99] p*=0.8
The following generation flags are not valid and may be ignored: ['temperature', 'top_p', 'top_k']. Set `TRANSFORMERS_VERBOSITY=info` for more details.
[evidential] step=0 eval mean_K=0.440  K@p=0.50->0.00  K@p=0.99->0.50  slope(hi-lo)=+0.50
[evidential] step=1 train reward=43.20 K=0.16 invalid=0.48 gen_len=128.0
[evidential] step=20 train reward=82.60 K=0.64 invalid=0.00 gen_len=128.0
[evidential] step=20 eval mean_K=0.400  K@p=0.50->0.40  K@p=0.99->0.20  slope(hi-lo)=-0.20
[evidential] step=40 train reward=76.00 K=0.80 invalid=0.00 gen_len=127.7
[evidential] step=40 eval mean_K=0.650  K@p=0.50->0.70  K@p=0.99->0.80  slope(hi-lo)=+0.10
[evidential] step=60 train reward=64.60 K=0.40 invalid=0.00 gen_len=128.0
[evidential] step=60 eval mean_K=0.662  K@p=0.50->0.70  K@p=0.99->0.80  slope(hi-lo)=+0.10
[evidential] step=60 eval mean_K=0.662  K@p=0.50->0.70  K@p=0.99->0.80  slope(hi-lo)=+0.10
[evidential] saved adapter -> /root/kanad_dt_rl/newcomb_rl/../results/adapters/evidential_cot
