tag,onebox_rate,margin_level,margin_hi_lo,cred_gap_adj_slope,cred_gap_adj_ci,cred_gap_at_0.5,cred_saturated,cred_gap_adj_slope_prediction,cred_gap_adj_ci_prediction,cred_gap_at_0.5_prediction,cred_saturated_prediction,level,label,order
mech_m0_14b,0.5875,3.2921874700398868,0.44999995874451626,0.21042786347455858,"[0.11702689851329662, 0.31120122844978015]",0.189,False,0.09250152443301807,"[0.04283336935852727, 0.14325178979965436]",0.7433447033557534,False,m0,statistical,0
mech_m0pad_14b,0.5875,2.7468749721303913,1.000000040872283,0.17479235010818742,"[0.08030711244503388, 0.27392593529699166]",0.24400000000000005,False,0.08805103327511835,"[0.040875616826187434, 0.13665755785134526]",0.7358671595979259,False,m0pad,stat+pad,1
mech_m1_14b,0.6125,3.5484374925888944,-0.599999924103146,0.18519752914078322,"[0.11354230648426059, 0.26100596775319335]",0.23500000000000001,False,0.07113955139930409,"[0.04054093042143586, 0.10303788025087661]",0.790072842592268,False,m1,indiv-model,2
mech_m2_14b,0.625,3.6671874678775467,1.3624999036158334,0.30310427863474576,"[0.24094092447825796, 0.35756787883018093]",0.095,False,0.09379587487115408,"[0.06089873681329662, 0.12619507764693186]",0.8112487909735803,False,m2,process-scan,3
mech_m3_14b,0.6875,3.7890624974757445,0.30000007553405794,0.3095588748516787,"[0.21821503978502138, 0.3897023975710199]",0.13,False,0.07448502534640394,"[0.04171968529312126, 0.10776265614988903]",0.8139476585429506,False,m3,exact-copy,4
